iter	Passed	Remaining
354	322348	5700579
355	323278	5700060
356	324157	5698634
357	325027	5697054
358	325938	5696200
359	326831	5695046
360	327744	5694214
361	328652	5693308
362	329530	5691881
363	330421	5690699
364	331341	5689997
365	332237	5688884
366	333127	5687677
367	334047	5686973
368	334894	5685034
369	335774	5683671
370	336681	5682752
371	337552	5681233
372	338429	5679807
373	339347	5679080
374	340269	5678424
375	341171	5677426
376	342071	5676383
377	342953	5675068
378	343834	5673719
379	344721	5672480
380	345625	5671526
381	346520	5670423
382	347407	5669183
383	348306	5668136
384	349206	5667117
385	350102	5666041
386	350998	5664947
387	351903	5664012
388	352826	5663366
389	353694	5661838
390	354590	5660745
391	355521	5660227
392	356416	5659132
393	357307	5657968
394	358213	5657058
395	359108	5655961
396	360019	5655119
397	360899	5653789
398	361799	5652777
399	362693	5651666
400	363606	5650866
401	364482	5649474
402	365395	5648672
403	366295	5647661
404	367197	5646680
405	368155	5646554
406	369053	5645522
407	369966	5644713
408	370901	5644235
409	371807	5643308
410	372730	5642654
411	373662	5642126
412	374598	5641655
413	375509	5640803
414	376424	5640013
415	377361	5639556
416	378319	5639415
417	379215	5638334
418	380112	5637274
419	381020	5636383
420	381927	5635476
421	382851	5634811
422	383746	5633726
423	384674	5633129
424	385591	5632361
425	386503	5631514
426	387424	5630815
427	388360	5630326
428	389280	5629599
429	390189	5628706
430	391139	5628409
431	392102	5628305
432	393044	5627886
433	393979	5627369
434	394905	5626726
435	395817	5625875
436	396746	5625270
437	397679	5624714
438	398588	5623823
439	399513	5623158
440	400406	5622034
441	401303	5620975
442	402241	5620488
443	403130	5619309
444	404043	5618476
445	404940	5617407
446	405828	5616228
447	406713	5615005
448	407626	5614175
449	408550	5613481
450	409440	5612327
451	410345	5611385
452	411246	5610380
453	412153	5609468
454	413055	5608471
455	413931	5607139
456	414813	5605876
457	415682	5604449
458	416588	5603525
459	417501	5602693
460	418386	5601484
461	419268	5600233
462	420224	5599966
463	421107	5598733
464	421988	5597467
465	422933	5597066
466	423828	5595992
467	424737	5595101
468	425645	5594196
469	426513	5592772
